,Column Name,Correlation
248,artist | adithya_rk,0.03327949022342672
29,artist | 50_cent,0.03298520981591176
1224,artist | daniel_caesar,0.0329748763488529
1939,artist | guri,0.03295744521964034
2256,artist | jasmin_walia,0.032957445219640315
512,artist | arjun,0.032783089004480646
4168,artist | sanjana_kalmanje,0.03266665809897709
1175,artist | cults,0.032581369633443366
3692,artist | payal_dev,0.03248117611197333
2384,artist | john_legend,0.032291926461704534
5468,track_genre|indie,0.03226693362483754
4332,artist | shruti_haasan,0.03216876663456451
4275,artist | shamur,0.031996360410903306
2166,artist | ip_singh,0.031996360410903306
386,artist | amari,0.03192489718699125
4669,artist | taylor_swift,0.031584722756125505
3358,artist | mustard,0.03148917803692123
5421,track_genre|alt-rock,0.03131504846061425
4194,artist | sathyaprakash_d,0.03120899669679706
2356,artist | jithin_raj,0.03120899669679706
3870,artist | raghu_dixit,0.03120899669679706
5093,artist | varun_dhawan,0.031156197571704798
1049,artist | chris_brown,0.031122337133703458
3220,artist | migos,0.03095874936467531
5101,artist | vee,0.03072371557142647
5034,artist | tyler,0.030523842480544707
160,artist | _the_creator,0.030523842480544707
2526,artist | kanika_kapoor,0.030319817394213893
2765,artist | lehmber_hussainpuri,0.030319817394213865
4593,artist | surbhi_jyoti,0.03031981739421381
417,artist | ananthakrrishnan,0.03031981739421373
4677,artist | teejay,0.03031981739421358
305,artist | al_rufian,0.03031981739421358
2705,artist | labh_janjua,0.03025721881283357
4170,artist | sanjoy,0.03023722242867698
2342,artist | jhayco,0.03014372134912285
3311,artist | mora,0.030021017045303643
4324,artist | shortie,0.02990742690727268
1303,artist | deepti,0.02990742690727268
3095,artist | master_rakesh,0.02990742690727268
1460,artist | dua_lipa,0.029870713535220823
5528,key|5,0.029581572526512747
2120,artist | ign,0.02948856326828965
5032,artist | ty_dolla_,0.02948856326828965
5466,track_genre|house,0.02938627049606493
4580,artist | sunanda_sharma,0.029374713141568233
4356,artist | sikander_kahlon,0.029370583001922093
870,artist | brodha_v,0.029370583001922072
5291,artist | yashraj,0.02937058300192203
4642,artist | talwiinder,0.02937058300192203
1457,artist | dropped_out,0.02937058300192203
53,artist | _capone,0.02930590331561191
3367,artist | måneskin,0.029277693537595913
4491,artist | srinidhi_venkatesh,0.028901651509106854
4448,artist | sonam_bajwa,0.02887941840727966
4195,artist | satinder_sartaaj,0.028851575987065215
3832,artist | psy,0.028635752603200337
4323,artist | shooter_kahlon,0.028408745215282888
3914,artist | rav_aulakh,0.028388253812637196
906,artist | byg_byrd,0.028362162184682307
3597,artist | one_direction,0.028243825858372738
3399,artist | nate_dogg,0.028120311298047877
927,artist | calvin_harris,0.028084351005736658
812,artist | bon_iver,0.027879843970009942
3796,artist | pragathi_guruprasad,0.027434235209752533
